biosample_name,num_experiment,group_refined_1,group_refined_2,group_refined_3,group,explanation,color,big_group
erythroblast,6,red blood cells,red blood cells,red blood cells,red blood cells,"Erythroblast, nucleated cell occurring in red marrow as a stage or stages in the development of the red blood cell, or erythrocyte.",#55A354,9
megakaryocyte,6,bone marrow cells for producing platelets,bone marrow ,bone marrow ,white blood cells,"Megakaryocytes are cells in the bone marrow responsible for making platelets, which are necessary for blood clotting",#678C69,8
embryo,5,embryo,embryo,embryo,embryo,,#AF5B39,18
C2C12,5,Muscle,Muscle,Muscle,Muscle,an undifferentiated cell capable of giving rise to muscle cells,#F9B6CF,22
E14TG2a.4,5,ESC,ESC,ESC,ESC,,#924965,16
small intestine,5,Intestine,Intestine,Intestine,intestine,,#D0A39B,7
retina,4,retina,retina,retina,retina,,#F8CBAD,14
brain,3,brain ,brain ,brain ,brain,,#C5912B,3
splenic B cell,3,B-cells,white blood cells,white blood cells,white blood cells,"b-cells generated by the spleen, used for immunity",#678C69,8
cortical plate,3,ESC/forebrain,ESC,ESC,ESC,The term cortical plate refers to the embryonic precursor of cerebral cortex. It gives rise to all layers of neocortex and allocortex,#924965,16
brown adipose tissue,3,adipose,adipose,adipose,Adipose,,#0070C0,15
embryonic fibroblast,3,ESC fibroblast,ESC,ESC,ESC,,#924965,16
placenta,3,placenta,placenta,placenta,placenta,,#69608A,17
olfactory bulb,3,forebrain,forebrain,brain ,brain,,#C5912B,3
bone marrow macrophage,3,bone marrow white blood cells,bone marrow,bone marrow,bone marrow,"Bone marrow-derived macrophages (BMDM) are primary macrophages obtained by in vitro differentiation of bone marrow cells in the presence of macrophage colony-stimulating factor (M-CSF or CSF1). They are easy to obtain in high yields, can be stored by freezing, and can be obtained from genetically modified mice strains.",#375623,10
cortex,2,forebrain,forebrain,brain ,Brain,,#C5912B,3
bone marrow,2,bone marrow,bone marrow,bone marrow,bone marrow,,#375623,10
adrenal gland,2,adrenal gland,other,other,Other,"small, triangular-shaped glands located on top of both kidneys. Adrenal glands produce hormones that help regulate your metabolism, immune system, blood pressure, response to stress and other essential functions.",#999999,19
hematopoietic stem cell,2,ESC,ESC,ESC,ESC,"An immature cell that can develop into all types of blood cells, including white blood cells, red blood cells, and platelets. Hematopoietic stem cells are found in the peripheral blood and the bone marrow.",#924965,16
c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells,1,erythroid progenitor cells,erythroid progenitor cells,red blood cells,red blood cells,"Erythroid progenitor cells are committed self-renewing stem cells that give rise to only one type of cell, namely, the erythrocytes (red blood cells).",#55A354,9
erythroid progenitor cell,1,erythroid progenitor cells,erythroid progenitor cells,red blood cells,red blood cells,,#55A354,9
megakaryocyte-erythroid progenitor cell,1,erythroid progenitor cells,erythroid progenitor cells,red blood cells,red blood cells,"The megakaryocyte–erythroid progenitor cell (or MEP, or hMEP to specify human) is a cell that gives rise to megakaryocytes and erythrocytes. It is derived from the common myeloid progenitor.",#55A354,9
neutrophil,1,white blood cells,white blood cells,white blood cells,white blood cells,"A type of immune cell that is one of the first cell types to travel to the site of an infection. Neutrophils help fight infection by ingesting microorganisms and releasing enzymes that kill the microorganisms. A neutrophil is a type of white blood cell, a type of granulocyte, and a type of phagocyte.",#678C69,8
adipocyte,1,adipose,adipose,adipose,adipose,"a cell specialized for the storage of fat, found in connective tissue",#0070C0,15
activated regulatory T-cells,1,white blood cells,white blood cells,white blood cells,white blood cells,,#678C69,8
cerebral cortex,2,forebrain,forebrain,brain ,brain,,#C5912B,3
left cerebral cortex,1,forebrain,forebrain,brain ,brain,,#C5912B,3
"naive thymus-derived CD4-positive, alpha-beta T cell",1,T cells,white blood cells,white blood cells,white blood cells,,#678C69,8
NIH3T3,1,ESC fibroblast,fibroblast,fibroblast,fibroblast,3T3 cells are several cell lines of mouse embryonic fibroblasts,#8DAFC3,20
frontal cortex,1,forebrain,forebrain,brain ,brain,,#C5912B,3
forelimb bud,1,limb bud,limb ,limb ,Muscle,The limb bud is a structure formed early in vertebrate limb development,#F9B6CF,22
ES-CJ7,1,ESC,ESC,ESC,ESC,Undifferentiated embryonic stem cells were originally isolated from 129S1/SVImJ strain mice by,#924965,16
WW6,1,ESC,ESC,ESC,ESC,WW6: an embryonic stem cell line with an inert genetic marker that can be traced in chimeras,#924965,16
telencephalon,1,neuron ,neuron ,neuron ,neuron,"The telencephalon (basal ganglia, septum, cerebral cortex and olfactory bulb) contains two general classes of neurons: those that project axons to distant targets and those that make only local connections.",#FFD924,4
yolk sac,1,embryo,embryo,embryo,embryo,"The yolk sac is a small, membranous structure situated outside of the embryo with a variety of functions during embryonic development. It attaches ventrally to the developing embryo via the yolk stalk. The yolk stalk is a term that may be used interchangeably with the vitelline duct or omphalomesenteric duct.",#AF5B39,18
hindlimb bud,1,embryo,embryo,embryo,embryo,,#AF5B39,18
B cell,1,B-cells,white blood cells,white blood cells,white blood cells,,#678C69,8
monocyte,1,white blood cells,white blood cells,white blood cells,white blood cells,"A monocyte is a type of white blood cell and a type of phagocyte. Enlarge. Blood cells. Blood contains many types of cells: white blood cells (monocytes, lymphocytes, neutrophils, eosinophils, basophils, and macrophages), red blood cells (erythrocytes), and platelets",#678C69,8
common myeloid progenitor,1,erythroid progenitor cells,erythroid progenitor cells,red blood cells,red blood cells,Common myeloid progenitors give rise to either megakaryocyte/erythrocyte or granulocyte/macrophage progenitors,#55A354,9
c-Kit-negative CD71-positive TER-119-positive erythroid progenitor cells,1,erythroid progenitor cells,erythroid progenitor cells,red blood cells,red blood cells,,#55A354,9
gonadal fat pad,1,adipose,adipose,adipose,adipose,,#0070C0,15
regulatory T cell,1,T cells,white blood cells,white blood cells,white blood cells,,#678C69,8
inflammation-experienced regulatory T-cells,1,T cells,white blood cells,white blood cells,white blood cells,,#678C69,8
c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells,1,erythroid progenitor cells,erythroid progenitor cells,erythroid progenitor cells,red blood cells,,#55A354,9
Patski,1,fibroblast,fibroblast,fibroblast,fibroblast,PATSKI is a female interspecific mouse fibroblast that was derived from the embryonic kidney of an M. spretus x C57BL/6J hybrid mouse such that the C57Bl/6J X chromosome (maternal) is always the inactive X. This is an adherent cell line.,#8DAFC3,20
skeletal muscle tissue,1,muscle,muscle,muscle,muscle,,#F9B6CF,22
mesoderm,1,embryo,embryo,embryo,embryo,"the middle layer of an embryo in early development, between the endoderm and ectoderm.",#AF5B39,18
large intestine,1,intestine,intestine,intestine,intestine,,#D0A39B,7
CD4-positive helper T cell,1,T cells,white blood cells,white blood cells,white blood cells,,#678C69,8
MEL-GATA-1-ER,1,other,other,other,other,cancer cell ine Mouse erythroid leukemia (https://web.expasy.org/cellosaurus/CVCL_Y480),#999999,19
416B,1,other,other,other,other,transformed cell lineHaematopoiesis is the formation of blood cellular component,#999999,19
right cerebral cortex,1,forebrain,forebrain,brain ,brain,,#C5912B,3
induced T-regulatory cell,1,T cells,white blood cells,white blood cells,white blood cells,,#678C69,8
A20,1,B-cells,white blood cells,white blood cells,white blood cells,B lymphocyte,#678C69,8
activated regulatory T-cell,1,T cells,white blood cells,white blood cells,white blood cells,,#678C69,8
3T3-L1,1,fibroblast,fibroblast,fibroblast,fibroblast,,#8DAFC3,20
fat pad,1,adipose,adipose,adipose,adipose,,#0070C0,15
R1,1,ESC,ESC,ESC,esC,,#924965,16
MN1,1,neuron ,neuron ,neuron ,neuron,MN1 is a cholinergic motor neuron cell line derived from a fusion of N18TG2 with embryonic mouse spinal cord motor neurons,#FFD924,4
fibroblast of lung,1,fibroblast,fibroblast,fibroblast,fibroblast,,#8DAFC3,20
ZHBTc4,1,ESC,ESC,ESC,eSC,"ZHBTc4 undifferentiated mouse embryonic stem cells originated from a male mouse of the 129/Ola strain, and received as frozen ampoules from D. Levasseur (University of Iowa). These cells lack functional endogenous Oct4 alleles and harbor a regulatable Oct4 transgene.",#924965,16
"CD4-positive, CD25-positive, alpha-beta regulatory T cell",1,T cells,white blood cells,white blood cells,white blood cells,,#678C69,8
megakaryocyte progenitor cell,1,myeloid progenitor,other,other,other,"The megakaryocyte–erythroid progenitor cell (or MEP, or hMEP to specify human) is a cell that gives rise to megakaryocytes and erythrocytes. It is derived from the common myeloid progenitor.",#999999,19
3134,1,other,other,other,other,cancer cell line: https://web.expasy.org/cellosaurus/CVCL_H641,#999999,19
Muller cell,1,retina,retina,retina,retina,"Müller cells are the principal glial cells of the retina, assuming many of the functions carried out by astrocytes, oligodendrocytes and ependymal cells in other CNS regio",#F8CBAD,14
c-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells,1,erythroid progenitor cells,erythroid progenitor cells,red blood cells,red blood cells,,#55A354,9
granulocyte monocyte progenitor cell,1,white blood cells,white blood cells,white blood cells,white blood cells,"Granulocyte-monocyte progenitor (GMP) cells play a vital role in the immune system by maturing into a variety of white blood cells, including neutrophils and macrophages, depending on exposure to cytokines such as various types of colony stimulating factors",#678C69,8
gastrocnemius,1,muscle,muscle,muscle,muscle,,#F9B6CF,22
