File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF472UYJ	bigWig	bigWig		signal p-value	mm10	ENCSR000DIP	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF780IBM/, /files/ENCFF735DJP/, /files/ENCFF336KWE/, /files/ENCFF601JDD/	932014015	ENCODE Processing Pipeline	9bf7452065a6fe23e9c35fd3870d3807		https://www.encodeproject.org/files/ENCFF472UYJ/@@download/ENCFF472UYJ.bigWig				released	s3://encode-public/2020/10/13/c6c6ab96-77d7-4277-b55b-1792b0555e64/ENCFF472UYJ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/c6c6ab96-77d7-4277-b55b-1792b0555e64/ENCFF472UYJ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, mixed read lengths, low read length, inconsistent platforms		
ENCFF065ODV	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	mm10	ENCSR000DIP	TF ChIP-seq	/mouse-donors/ENCDO073AAA/	EFO:0003971	MEL	cell line	Mus musculus										CTCF-mouse	DNA						2012-02-13	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF336KWE/, /files/ENCFF780IBM/, /files/ENCFF601JDD/, /files/ENCFF735DJP/	553737	ENCODE Processing Pipeline	831982825ecd1bc4e477f99852c5075e		https://www.encodeproject.org/files/ENCFF065ODV/@@download/ENCFF065ODV.bed.gz				released	s3://encode-public/2020/10/13/018a16f5-9580-474b-b126-d13be57f0bf0/ENCFF065ODV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/13/018a16f5-9580-474b-b126-d13be57f0bf0/ENCFF065ODV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read depth, mixed read lengths, low read length, inconsistent platforms		
ENCFF651LJP	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBN	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002037	cerebellum	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF316FYN/	991742	ENCODE Processing Pipeline	57c95420b1448ab1a0f39e925a273f7f		https://www.encodeproject.org/files/ENCFF651LJP/@@download/ENCFF651LJP.bigBed				released	s3://encode-public/2020/10/14/6c4aaab2-52b8-40a0-a0fe-50b8d6919adc/ENCFF651LJP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/6c4aaab2-52b8-40a0-a0fe-50b8d6919adc/ENCFF651LJP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	moderate library complexity, low read depth, low read length, mild to moderate bottlenecking, control low read depth, borderline replicate concordance	insufficient read depth	
ENCFF876RKZ	bigWig	bigWig		signal p-value	mm10	ENCSR000CBN	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002037	cerebellum	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF357ETD/, /files/ENCFF755ZTY/, /files/ENCFF467AIM/, /files/ENCFF412GIX/	414945205	ENCODE Processing Pipeline	4e07b112bc2703c72b1fd7652ffa0c71		https://www.encodeproject.org/files/ENCFF876RKZ/@@download/ENCFF876RKZ.bigWig				released	s3://encode-public/2020/10/14/5d2ce640-d710-4194-b469-04e510d23a39/ENCFF876RKZ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/5d2ce640-d710-4194-b469-04e510d23a39/ENCFF876RKZ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	moderate library complexity, low read depth, low read length, mild to moderate bottlenecking, control low read depth, borderline replicate concordance	insufficient read depth	
ENCFF316FYN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBN	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002037	cerebellum	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF467AIM/, /files/ENCFF755ZTY/, /files/ENCFF412GIX/, /files/ENCFF547MET/, /files/ENCFF357ETD/	539104	ENCODE Processing Pipeline	60995db9f0fee64ce41031e8aef3190c		https://www.encodeproject.org/files/ENCFF316FYN/@@download/ENCFF316FYN.bed.gz				released	s3://encode-public/2020/10/14/21c0a2ee-4ea6-47d1-865d-f395df9dc3a0/ENCFF316FYN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/21c0a2ee-4ea6-47d1-865d-f395df9dc3a0/ENCFF316FYN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	moderate library complexity, low read depth, low read length, mild to moderate bottlenecking, control low read depth, borderline replicate concordance	insufficient read depth	
ENCFF097CAQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBL	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002371	bone marrow	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF719QSJ/, /files/ENCFF780OEY/, /files/ENCFF545SJI/, /files/ENCFF401HNQ/	449445	ENCODE Processing Pipeline	cb0d71c16d0ddcc4f05244a8dc355b67		https://www.encodeproject.org/files/ENCFF097CAQ/@@download/ENCFF097CAQ.bed.gz				released	s3://encode-public/2020/10/14/7c15583d-d039-4ef8-8ae9-e8c7ece95777/ENCFF097CAQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/7c15583d-d039-4ef8-8ae9-e8c7ece95777/ENCFF097CAQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, control low read depth	insufficient read depth, control insufficient read depth	
ENCFF055SFF	bigWig	bigWig		signal p-value	mm10	ENCSR000CBL	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002371	bone marrow	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF545SJI/, /files/ENCFF719QSJ/, /files/ENCFF780OEY/, /files/ENCFF401HNQ/	432996340	ENCODE Processing Pipeline	94bff7f742a2146c2cbe321a5bd48d06		https://www.encodeproject.org/files/ENCFF055SFF/@@download/ENCFF055SFF.bigWig				released	s3://encode-public/2020/10/14/31b35c30-eb13-4170-b816-8e2f144d531a/ENCFF055SFF.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/31b35c30-eb13-4170-b816-8e2f144d531a/ENCFF055SFF.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, control low read depth	insufficient read depth, control insufficient read depth	
ENCFF096IYG	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBL	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002371	bone marrow	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF097CAQ/	835936	ENCODE Processing Pipeline	7c3fb2598410444fb4f912ded4dd2a2a		https://www.encodeproject.org/files/ENCFF096IYG/@@download/ENCFF096IYG.bigBed				released	s3://encode-public/2020/10/14/4520413a-c482-4ce9-be99-d75dbee055fe/ENCFF096IYG.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/4520413a-c482-4ce9-be99-d75dbee055fe/ENCFF096IYG.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	low read length, control low read depth	insufficient read depth, control insufficient read depth	
ENCFF839JQI	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBV	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002048	lung	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF491RJK/	960798	ENCODE Processing Pipeline	0a620513793d244013e29fd3739e7d15		https://www.encodeproject.org/files/ENCFF839JQI/@@download/ENCFF839JQI.bigBed				released	s3://encode-public/2020/10/14/bf6ecef2-e398-45a3-be93-3307aebaefa4/ENCFF839JQI.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/bf6ecef2-e398-45a3-be93-3307aebaefa4/ENCFF839JQI.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length, control low read depth	insufficient read depth	
ENCFF491RJK	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBV	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002048	lung	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF547MET/, /files/ENCFF939ULB/, /files/ENCFF299BWJ/, /files/ENCFF694GGB/, /files/ENCFF398LGT/	498917	ENCODE Processing Pipeline	3a6bb4d3a6618033fbdae0874345a47b		https://www.encodeproject.org/files/ENCFF491RJK/@@download/ENCFF491RJK.bed.gz				released	s3://encode-public/2020/10/14/375151d9-948f-4fe6-b1ea-165a71d2e9f9/ENCFF491RJK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/375151d9-948f-4fe6-b1ea-165a71d2e9f9/ENCFF491RJK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length, control low read depth	insufficient read depth	
ENCFF304KVI	bigWig	bigWig		signal p-value	mm10	ENCSR000CBV	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002048	lung	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF939ULB/, /files/ENCFF694GGB/, /files/ENCFF398LGT/, /files/ENCFF299BWJ/	260688366	ENCODE Processing Pipeline	615b5dafa611fdd675da6a2252b13031		https://www.encodeproject.org/files/ENCFF304KVI/@@download/ENCFF304KVI.bigWig				released	s3://encode-public/2020/10/14/7f1b9937-3c3b-4a5c-ad8b-369844e03fcb/ENCFF304KVI.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/7f1b9937-3c3b-4a5c-ad8b-369844e03fcb/ENCFF304KVI.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, low read length, control low read depth	insufficient read depth	
ENCFF089EWX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBY	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002106	spleen	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF699BJR/, /files/ENCFF273VCB/, /files/ENCFF426ISA/, /files/ENCFF470APL/, /files/ENCFF547MET/	340400	ENCODE Processing Pipeline	82f974de602e6a9791ee4ccaebf5cb00		https://www.encodeproject.org/files/ENCFF089EWX/@@download/ENCFF089EWX.bed.gz				released	s3://encode-public/2020/10/14/e52f1ec2-cd1a-49ec-9b0d-1035834d8cfc/ENCFF089EWX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/e52f1ec2-cd1a-49ec-9b0d-1035834d8cfc/ENCFF089EWX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, inconsistent platforms	insufficient replicate concordance, insufficient read length, insufficient read depth	extremely low read depth
ENCFF250ZOH	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	mm10	ENCSR000CBY	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002106	spleen	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF089EWX/	694193	ENCODE Processing Pipeline	c63d5ebce4ad66b151b0aa0d7a61ec29		https://www.encodeproject.org/files/ENCFF250ZOH/@@download/ENCFF250ZOH.bigBed				released	s3://encode-public/2020/10/14/be1bc40d-9157-4084-9fec-f763b19e8942/ENCFF250ZOH.bigBed	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/be1bc40d-9157-4084-9fec-f763b19e8942/ENCFF250ZOH.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, inconsistent platforms	insufficient replicate concordance, insufficient read length, insufficient read depth	extremely low read depth
ENCFF535WVL	bigWig	bigWig		signal p-value	mm10	ENCSR000CBY	TF ChIP-seq	/mouse-donors/ENCDO956IXV/	UBERON:0002106	spleen	tissue	Mus musculus										CTCF-mouse	DNA						2011-07-22	ENCODE		see document	200-500	1, 2	1_1, 2_1							/files/ENCFF426ISA/, /files/ENCFF699BJR/, /files/ENCFF470APL/, /files/ENCFF273VCB/	393297951	ENCODE Processing Pipeline	152f83a8c6f5a4ece6a3ae1b63515e32		https://www.encodeproject.org/files/ENCFF535WVL/@@download/ENCFF535WVL.bigWig				released	s3://encode-public/2020/10/14/16c0f6f3-8f74-478b-bc6a-4a60e4d72363/ENCFF535WVL.bigWig	https://datasetencode.blob.core.windows.net/dataset/2020/10/14/16c0f6f3-8f74-478b-bc6a-4a60e4d72363/ENCFF535WVL.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.1 mm10	released	mild to moderate bottlenecking, inconsistent platforms	insufficient replicate concordance, insufficient read length, insufficient read depth	extremely low read depth
